Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
640000,Ciudad Lineal,Piso,4,2,149,8,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/157581441/d
500000,Salamanca,Piso,1,1,47,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/157771159/d
1930000,Fuencarral,Casa adosada,5,6,547,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-jardin-terraza-trastero-piscina/154298390/d
1980000,Fuencarral,Casa adosada,6,5,675,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-piscina/156436660/d
890000,Salamanca,Piso,3,2,149,5,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/157597150/d
460000,Chamartín,Piso,4,2,133,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/158660112/d
395000,Chamberí,Piso,2,1,73,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/159122649/d
3100000,Salamanca,Piso,4,5,269,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-television/158870851/d
122000,Hortaleza,Piso,3,1,91,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-amueblado-se-aceptan-mascotas/158903761/d
214900,Hortaleza,Piso,3,2,85,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/158019966/d
269900,Hortaleza,Piso,3,1,80,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159149846/d
525000,Salamanca,Piso,3,2,147,3,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina-piscina/158972362/d
299000,Ciudad Lineal,Piso,2,1,90,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/158889443/d
