"","Precio","Precio_m2","Habitaciones","Aseos","Superficie","Parking","Colegios","Tipo","Distrito"
"1",202000,3888,1,1,53,1,9,"Loft","Arganzuela"
"2",279000,3888,3,1,85,0,9,"Piso","Arganzuela"
"3",315000,3888,2,1,57,0,9,"Piso","Arganzuela"
"4",192000,3888,2,1,64,0,9,"Piso","Arganzuela"
"5",484500,3888,4,2,147,0,9,"Piso","Arganzuela"
"6",390000,3888,2,2,88,1,9,"Piso","Arganzuela"
"7",375000,3888,2,2,55,0,9,"Piso","Arganzuela"
"8",240000,3888,2,1,35,0,9,"�tico","Arganzuela"
"9",349000,3888,3,1,92,0,9,"Piso","Arganzuela"
"10",127300,3888,3,1,60,0,9,"Piso","Arganzuela"
"11",889000,3888,7,5,447,1,9,"Casa o chalet","Arganzuela"
"12",245000,3888,3,1,64,0,9,"Piso","Arganzuela"
"13",140000,3888,3,1,81,0,9,"Piso","Arganzuela"
"14",145000,3888,2,1,37,0,9,"Piso","Arganzuela"
"15",199850,3888,2,1,53,0,9,"Piso","Arganzuela"
"16",1190000,3888,3,2,181,0,9,"Piso","Arganzuela"
"17",378000,3888,1,1,48,0,9,"Piso","Arganzuela"
"18",2000000,3888,5,4,241,1,9,"Piso","Arganzuela"
"19",285000,3888,4,1,81,0,9,"Piso","Arganzuela"
"20",220000,3888,1,1,45,0,9,"Apartamento","Arganzuela"
"21",550000,3888,2,2,68,0,9,"Piso","Arganzuela"
"22",260000,3888,2,1,60,0,9,"Piso","Arganzuela"
"23",2200000,3888,3,4,250,0,9,"Piso","Arganzuela"
"24",348400,3888,2,2,67,0,9,"Piso","Arganzuela"
"25",144600,3888,2,1,48,0,9,"Piso","Arganzuela"
"26",212000,3888,2,1,62,0,9,"Piso","Arganzuela"
"27",450000,3888,2,1,92,0,9,"Apartamento","Arganzuela"
"28",320000,3888,4,1,89,0,9,"Piso","Arganzuela"
"29",129000,3888,1,1,64,0,9,"Piso","Arganzuela"
"30",259000,3888,2,2,92,1,9,"Piso","Arganzuela"
"31",1050000,3888,4,2,298,1,9,"Piso","Arganzuela"
"32",143685,3888,1,1,44,0,9,"Piso","Arganzuela"
"33",169000,3888,1,1,49,0,9,"Piso","Arganzuela"
"34",168500,3888,2,1,58,0,9,"Piso","Arganzuela"
"35",154500,3888,1,1,39,0,9,"Piso","Arganzuela"
"36",156000,3888,3,1,75,0,9,"Piso","Arganzuela"
"37",499000,3888,1,1,79,1,9,"Piso","Arganzuela"
"38",850000,3888,1,1,110,0,9,"Piso","Arganzuela"
"39",199000,3888,3,1,60,0,9,"Piso","Arganzuela"
"40",2250000,3888,3,3,254,0,9,"Piso","Arganzuela"
"41",155000,3888,1,1,56,0,9,"Piso","Arganzuela"
"42",259000,3888,2,2,56,0,9,"�tico","Arganzuela"
"43",249000,3888,3,1,73,0,9,"Piso","Arganzuela"
"44",768000,3888,3,2,334,1,9,"�tico","Arganzuela"
"45",1550000,3888,3,4,211,0,9,"Piso","Arganzuela"
"46",94990,3888,2,1,75,0,9,"Piso","Arganzuela"
"47",390000,3888,4,2,120,0,9,"Piso","Arganzuela"
"48",352000,3888,2,1,70,0,9,"Piso","Arganzuela"
"49",299000,3888,2,1,56,0,9,"Piso","Arganzuela"
"50",250000,3888,3,1,59,0,9,"Piso","Arganzuela"
"51",545000,3888,4,2,130,1,9,"Piso","Arganzuela"
"52",174000,3888,3,1,70,0,9,"Piso","Arganzuela"
"53",212000,3888,1,1,40,0,9,"Piso","Arganzuela"
"54",118500,3888,2,1,51,0,9,"Piso","Arganzuela"
"55",850000,3888,3,2,160,0,9,"Apartamento","Arganzuela"
"56",189000,3888,1,1,47,0,9,"Piso","Arganzuela"
"57",215000,3888,1,1,65,1,9,"Loft","Arganzuela"
"58",251500,3888,2,3,169,0,9,"Piso","Arganzuela"
"59",367000,3888,4,2,143,1,9,"Piso","Arganzuela"
"60",160000,3888,3,1,71,0,9,"Piso","Arganzuela"
"61",298900,3888,1,1,79,0,9,"Piso","Arganzuela"
"62",600000,3888,3,2,155,0,9,"Piso","Arganzuela"
"63",90000,3888,2,1,59,0,9,"Piso","Arganzuela"
"64",590000,3888,4,1,135,0,9,"Piso","Arganzuela"
"65",850000,3888,4,3,161,0,9,"Piso","Arganzuela"
"66",225000,3888,2,1,87,0,9,"Piso","Arganzuela"
"67",175000,3888,2,1,110,0,9,"Piso","Arganzuela"
"68",995000,3888,5,3,172,1,9,"Piso","Arganzuela"
"69",700000,3888,4,2,162,0,9,"Piso","Arganzuela"
"70",530000,3888,3,3,138,1,9,"Piso","Arganzuela"
"71",124900,3888,1,1,36,0,9,"Piso","Arganzuela"
"72",178000,3888,3,1,60,0,9,"Piso","Arganzuela"
"73",425000,3888,3,2,109,0,9,"Piso","Arganzuela"
"74",2950000,3888,4,4,625,1,9,"Casa o chalet","Arganzuela"
"75",256000,3888,2,1,69,0,9,"Apartamento","Arganzuela"
"76",349000,3888,2,1,70,0,9,"Piso","Arganzuela"
"77",140000,3888,2,1,65,0,9,"Piso","Arganzuela"
"78",152000,3888,2,1,36,0,9,"Piso","Arganzuela"
"79",230000,3888,3,1,75,0,9,"Piso","Arganzuela"
"80",80000,3888,3,1,69,0,9,"Piso","Arganzuela"
"81",230000,3888,2,1,50,0,9,"Piso","Arganzuela"
"82",135000,3888,2,1,50,0,9,"Piso","Arganzuela"
"83",142000,3888,2,1,75,0,9,"Piso","Arganzuela"
"84",220000,3888,4,2,119,1,9,"Piso","Arganzuela"
"85",1600000,3888,2,4,157,0,9,"�tico","Arganzuela"
"86",199000,3888,2,1,53,0,9,"Piso","Arganzuela"
"87",135000,3888,2,1,57,0,9,"Piso","Arganzuela"
"88",820000,3888,5,2,168,0,9,"Piso","Arganzuela"
"89",595000,3888,3,2,117,1,9,"Piso","Arganzuela"
"90",2530200,3888,5,2,1933,0,9,"Casa o chalet","Arganzuela"
"91",400000,3888,2,2,65,1,9,"Piso","Arganzuela"
"92",465000,3888,5,2,136,0,9,"Piso","Arganzuela"
"93",385000,3888,2,2,88,1,9,"Piso","Arganzuela"
"94",550000,3888,2,1,85,0,9,"Piso","Arganzuela"
"95",395000,3888,3,1,75,0,9,"Piso","Arganzuela"
"96",129000,3888,3,1,50,0,9,"Piso","Arganzuela"
"97",179000,3888,3,2,93,0,9,"Piso","Arganzuela"
"98",94000,3888,2,1,56,0,9,"Piso","Arganzuela"
"99",135000,3888,1,1,34,0,9,"Piso","Arganzuela"
"100",235000,3888,1,1,61,0,9,"Piso","Arganzuela"
"101",295000,3888,1,1,70,1,9,"Piso","Arganzuela"
"102",197000,3888,2,1,54,0,9,"Piso","Arganzuela"
"103",79000,3888,1,1,30,0,9,"Planta baja","Arganzuela"
