"","Precio","Precio_m2","Habitaciones","Aseos","Superficie","Parking","Colegios","Tipo","Distrito"
"2",279000,3888,3,1,85,0,9,"Piso","Arganzuela"
"3",315000,3888,2,1,57,0,9,"Piso","Arganzuela"
"4",192000,3888,2,1,64,0,9,"Piso","Arganzuela"
"5",484500,3888,4,2,147,0,9,"Piso","Arganzuela"
"6",390000,3888,2,2,88,1,9,"Piso","Arganzuela"
"7",375000,3888,2,2,55,0,9,"Piso","Arganzuela"
"9",349000,3888,3,1,92,0,9,"Piso","Arganzuela"
"10",127300,3888,3,1,60,0,9,"Piso","Arganzuela"
"12",245000,3888,3,1,64,0,9,"Piso","Arganzuela"
"13",140000,3888,3,1,81,0,9,"Piso","Arganzuela"
"14",145000,3888,2,1,37,0,9,"Piso","Arganzuela"
"15",199850,3888,2,1,53,0,9,"Piso","Arganzuela"
"16",1190000,3888,3,2,181,0,9,"Piso","Arganzuela"
"17",378000,3888,1,1,48,0,9,"Piso","Arganzuela"
"18",2000000,3888,5,4,241,1,9,"Piso","Arganzuela"
"19",285000,3888,4,1,81,0,9,"Piso","Arganzuela"
"21",550000,3888,2,2,68,0,9,"Piso","Arganzuela"
"22",260000,3888,2,1,60,0,9,"Piso","Arganzuela"
"23",2200000,3888,3,4,250,0,9,"Piso","Arganzuela"
"24",348400,3888,2,2,67,0,9,"Piso","Arganzuela"
"25",144600,3888,2,1,48,0,9,"Piso","Arganzuela"
"26",212000,3888,2,1,62,0,9,"Piso","Arganzuela"
"28",320000,3888,4,1,89,0,9,"Piso","Arganzuela"
"29",129000,3888,1,1,64,0,9,"Piso","Arganzuela"
"30",259000,3888,2,2,92,1,9,"Piso","Arganzuela"
"31",1050000,3888,4,2,298,1,9,"Piso","Arganzuela"
"32",143685,3888,1,1,44,0,9,"Piso","Arganzuela"
"34",169000,3888,1,1,49,0,9,"Piso","Arganzuela"
"35",168500,3888,2,1,58,0,9,"Piso","Arganzuela"
"36",154500,3888,1,1,39,0,9,"Piso","Arganzuela"
"37",156000,3888,3,1,75,0,9,"Piso","Arganzuela"
"38",499000,3888,1,1,79,1,9,"Piso","Arganzuela"
